Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-03-16,RIG,TRANSOCEAN LTD,,MR Discretion,-7.5,18.1,25.6
2026-03-16,RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,Financials,-65.9,2.2,68.1
2026-03-16,RL,RALPH LAUREN ,Consumer Discretionary,Consumer Discretionary,-20.7,7.3,28.0
2026-03-16,RMD,RESMED INC.,Health Care,Health Care,-10.4,8.1,18.5
2026-03-16,ROK,"ROCKWELL AUTOMATION, INC.",Industrials,Industrials,-25.8,8.1,33.9
2026-03-16,ROKU,"ROKU, INC.",,MR Discretion,-19.0,54.6,73.6
2026-03-16,ROL,"ROLLINS, INC.",Industrials,Industrials,-17.9,6.5,24.4
2026-03-16,ROP,"ROPER TECHNOLOGIES, INC.",Information Technology,Information Technology,31.3,99.8,68.5
2026-03-16,ROST,"ROSS STORES, INC.",Consumer Discretionary,Consumer Discretionary,-7.2,44.6,51.8
2026-03-16,RSG,"REPUBLIC SERVICES, INC.",Industrials,Industrials,6.0,55.8,49.8
2026-03-16,RSP,INVESCO S&P500 EWGHT,,Sector & Style ETFs,-46.8,2.2,49.0
2026-03-16,RTX,RTX ,Industrials,Industrials,-63.5,35.5,99.0
2026-03-16,RUT,RUSSELL 2000 INDEX,,Indices,-36.9,5.0,41.9
2026-03-16,RVTY,"REVVITY, INC.",Health Care,Health Care,-4.4,10.1,14.5
2026-03-16,SBAC,SBA COMMUNICATIONS ,Real Estate,Real Estate,-76.2,15.3,91.5
2026-03-16,SBLK,STAR BULK CARRIERS CORP.,,MR Discretion,-6.3,14.9,21.2
2026-03-16,SBUX,STARBUCKS ,Consumer Discretionary,Consumer Discretionary,31.8,78.8,47.0
2026-03-16,SCHP,SCHWAB STR:US TIPS,,Bonds,9.6,17.7,8.1
2026-03-16,SCHW,THE CHARLES SCHWAB ,Financials,Financials,-49.6,38.3,87.9
2026-03-16,SD,"SANDRIDGE ENERGY, INC.",,MR Discretion,-19.8,24.4,44.2
2026-03-16,SDY,SPDR S&P DIVIDEND,,Sector & Style ETFs,-38.5,0.6,39.1
2026-03-16,SHW,THE SHERWIN-WILLIAMS COMPANY,Materials,Materials,-14.7,1.0,15.7
2026-03-16,SHY,ISHARES:1-3 TRS BD ETF,Bonds,Bonds,-25.0,6.2,31.2
2026-03-16,SILJ,ETFMG PRIME JR SILVR MNR,,Commodities,-37.7,8.5,46.2
2026-03-16,SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,Consumer Staples,10.7,31.9,21.2
2026-03-16,SLB,SCHLUMBERGER N.V.,Energy,Energy,-76.2,4.2,80.4
2026-03-16,SLV,ISHARES:SILVER TRUST,,Commodities,-27.8,36.7,64.5
2026-03-16,SM,SM ENERGY COMPANY,,MR Discretion,49.2,94.6,45.4
2026-03-16,SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,Information Technology,46.0,61.7,15.7
2026-03-16,SMH,VANECK:SEMICONDUCTOR,,Sector & Style ETFs,-17.4,14.1,31.5
2026-03-16,SNA,SNAP-ON INC.,Industrials,Industrials,-61.5,5.8,67.3
2026-03-16,SNDK,SANDISK CORPORATION,Information Technology,Information Technology,-9.8,35.5,45.3
2026-03-16,SNPS,"SYNOPSYS, INC.",Information Technology,Information Technology,-16.9,48.8,65.7
2026-03-16,SO,THE SOUTHERN COMPANY,Utilities,Utilities,38.4,68.8,30.4
2026-03-16,SOLV,SOLVENTUM ,Health Care,Health Care,-3.2,2.6,5.8
2026-03-16,SOYB,TEUCRIUM:SOYBEAN,,Commodities,55.9,56.5,0.6
2026-03-16,SPG,"SIMON PROPERTY GROUP, INC.",Real Estate,Real Estate,-45.2,13.7,58.9
2026-03-16,SPGI,S&P GLOBAL INC.,Financials,Financials,-27.7,66.5,94.2
2026-03-16,SPHB,INVESCO S&P500 HI BE,,Sector & Style ETFs,-38.1,13.3,51.4
2026-03-16,SPLV,INVESCO S&P500 LOWVL,,Sector & Style ETFs,-16.4,15.9,32.3
2026-03-16,SPX,S&P 500 INDEX,,Indices,-23.0,8.9,31.9
2026-03-16,SPY,SPDR S&P 500 ETF,,Sector & Style ETFs,-19.1,9.7,28.8
2026-03-16,SRE,SEMPRA,Utilities,Utilities,34.7,50.0,15.3
2026-03-16,STE,STERIS PUBLIC LIMITED COMPANY,Health Care,Health Care,-23.8,2.2,26.0
2026-03-16,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,Bonds,68.6,83.9,15.3
2026-03-16,STLA,STELLANTIS NV,,MR Discretion,-43.6,5.0,48.6
2026-03-16,STLD,"STEEL DYNAMICS, INC.",Materials,Materials,-33.3,5.8,39.1
2026-03-16,STNG,SCORPIO TANKERS INC.,,MR Discretion,21.5,29.2,7.7
2026-03-16,STT,STATE STREET ,Financials,Financials,-79.3,6.2,85.5
2026-03-16,STX,SEAGATE TECHNOLOGY HOLDINGS,Information Technology,Information Technology,-18.6,15.3,33.9
2026-03-16,STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,Consumer Staples,-5.1,54.2,59.3
2026-03-16,SW,SMURFIT WESTROCK PUBLIC LIMITED COMPANY,Materials,Materials,-97.6,0.2,97.8
2026-03-16,SWK,"STANLEY BLACK & DECKER, INC.",Industrials,Industrials,-67.1,1.0,68.1
2026-03-16,SWKS,"SKYWORKS SOLUTIONS, INC.",Information Technology,Information Technology,-5.1,3.4,8.5
2026-03-16,SYF,SYNCHRONY FINANCIAL,Financials,Financials,-56.3,12.9,69.2
2026-03-16,SYK,STRYKER ,Health Care,Health Care,15.5,26.8,11.3
2026-03-16,SYY,SYSCO ,Consumer Staples,Consumer Staples,-34.1,2.6,36.7
2026-03-16,T,AT&T INC.,Communication Services,Communication Services,11.1,31.5,20.4
2026-03-16,TAGS,TEUCRIUM:AGRICULTURAL,,Commodities,90.4,96.6,6.2
2026-03-16,TAP,MOLSON COORS BEVERAGE COMPANY,Consumer Staples,Consumer Staples,-60.7,5.0,65.7
2026-03-16,TDG,TRANSDIGM GROUP INC.,Industrials,Industrials,0.0,29.0,29.0
2026-03-16,TDW,TIDEWATER INC.,,MR Discretion,20.0,46.4,26.4
2026-03-16,TDY,TELEDYNE TECHNOLOGIES INC.,Information Technology,Information Technology,-35.7,25.6,61.3
2026-03-16,TECH,BIO-TECHNE ,Health Care,Health Care,-15.5,1.0,16.5
2026-03-16,TECK,TECK RESOURCES LIMITED,,MR Discretion,-84.5,4.2,88.7
2026-03-16,TEL,TE CONNECTIVITY LTD,Information Technology,Information Technology,-26.4,1.4,27.8
2026-03-16,TER,"TERADYNE, INC.",Information Technology,Information Technology,-19.0,14.1,33.1
2026-03-16,TFC,TRUIST FINANCIAL ,Financials,Financials,-76.2,3.8,80.0
2026-03-16,TGT,TARGET ,Consumer Staples,Consumer Staples,-47.2,49.4,96.6
