Date,Ticker,Ticker_name,Close,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_rr_ratio,week_rr_ratio,month_rr_ratio,gap_lt,gap_lt_avg,gap_lt_hi,gap_lt_lo,ST_Trend,st_avg,st_lo,st_hi,MT_Trend,mt_avg,mt_lo,mt_hi,LT_Trend,lt_avg,lt_lo,lt_hi,ST_Trend_Change,MT_Trend_Change,Z-Score Rank,Z-Score,Sharpe,Sharpe_avg,Sharpe_hi,Sharpe_low,Sharpe_Rank,prem_disc,prem_disc_avg,prem_disc_lo,prem_disc_hi,factor,model_score
2026-04-08,REG,REGENCY CENTERS ,77.86,73.96,79.47,73.21,82.56,68.84,88.36,-1.626168224299067,1.0107526881720423,1.1640798226164084,-3.299999999999997,-3.62127946127946,-1.7659945394326468,-5.476564383126273,0.0041081,9.083683501683567e-05,-0.012037446978545622,0.012219120648579293,0.02471403,-0.0053301597986577225,-0.02006178921585658,0.009401469618541132,0.02541371,0.017195203154362338,0.010339941014724427,0.024050465294000248,0.00125475,0.00427352,61.7,0.52,-0.168,0.008949494949494926,0.7480981611993915,-0.7301991713004017,45.4,0.49250330964019606,0.2576069867281549,-0.1069769654120653,0.6221909388683751,0.356,32.0
2026-04-08,EPU,ISHARES:MSCI PERU,85.58,76.99,86.05,72.13,94.5,69.75,109.88,-4.60479041916167,-1.507847533632287,1.5350600126342389,-10.469999999999999,-7.207474747474747,-1.2834946191306642,-13.13145487581883,-0.00075131,0.009321064444444433,-0.013328319101545107,0.03197044799043397,0.02721778,0.029180431979865758,-0.0009948296118740922,0.05935569357160561,0.10786137,0.07388087318791937,0.04340393147012625,0.1043578149057125,0.00684569,-0.00055715,80.8,1.26,-0.137,0.8013872053872052,1.8600770677007512,-0.2573026569263407,20.8,,,,,0.331,32.0
2026-04-08,ITW,ILLINOIS TOOL WORKS INC.,269.51,249.49,264.76,230.99,296.35,233.03,317.14,,-1.4351713859910558,1.3056469298245617,-7.949999999999989,-11.105858585858591,-2.8772814851955566,-19.334435686521626,-0.00679791,-0.0013440101683501694,-0.020371755248875828,0.017683734912175487,-0.00247313,-0.0013387585234899437,-0.02118669151472671,0.01850917446774682,0.02305795,0.009025736677852341,0.0013937516977036764,0.016657721658001008,0.00750623,0.00257084,95.8,2.49,-0.245,-0.05137373737373734,0.9072520765206632,-1.009999551268138,34.3,0.14416963486576861,0.0730575574244016,-0.264947803732322,0.41106291858112526,0.356,32.0
2026-04-08,TSLA,"TESLA, INC.",343.25,331.79,375.32,323.53,378.63,293.47,516.61,1.3548546081813693,1.7941176470588207,3.48252310164725,-85.31,-48.64134680134682,-20.23969409312619,-77.04299950956745,-0.04577035,-0.006328411717171718,-0.05415524191673881,0.041498418482395376,-0.05488338,-0.01500316087248324,-0.07291412841765066,0.04290780667268417,0.095552,0.05392663899328873,0.026859265188349038,0.08099401279822842,-0.00190671,0.00426688,90.3,1.49,-1.298,-0.042696969696969754,0.9209399662643362,-1.0063339056582756,1.0,0.11791144862185265,0.024257178978578747,-0.22715793336173842,0.2756722913188959,0.3225,31.0
2026-04-08,GEN,GEN DIGITAL INC.,18.89,17.32,19.96,16.46,20.07,15.78,23.9,-1.0638297872340425,-2.0593220338983054,1.6109324758842432,-1.1499999999999986,-1.5288888888888892,-0.523108747061813,-2.5346690307159654,-0.02886884,-0.009583971616161615,-0.03355030752490458,0.014382364292581346,-0.07517468,-0.02050181526845637,-0.053479584041858125,0.012475953504945379,-0.03107627,0.005271758825503287,-0.012852717507033271,0.023396235158039846,0.00641134,0.00236815,74.0,1.26,-1.464,-0.3446026936026935,0.5768217235250523,-1.2660271107304395,17.7,0.2813290995127724,0.25490326197250224,-0.28672961801087793,0.7965361419558824,0.279,31.0
2026-04-08,LHX,"L3HARRIS TECHNOLOGIES, INC.",361.97,339.41,366.38,324.56,393.45,313.82,435.68,-3.250741839762638,-1.188373570520968,1.5308411214953257,-34.36999999999995,-21.486195286195294,-7.544059921919542,-35.42833065047105,-0.01164942,0.007919783265993257,-0.01145897985734482,0.02729854638933133,0.02229004,0.02245099114093961,-0.0064643219837395086,0.05136630426561873,0.07249673,0.03891089107382548,0.013789149575324181,0.06403263257232679,2.204e-05,-0.02158692,17.1,-1.42,-0.031,0.5083838383838384,1.4579061120121606,-0.4411384352444838,25.4,0.24050706485495477,0.18436280722031304,-0.188084742589073,0.556810357029699,0.34,31.0
2026-04-08,LUV,SOUTHWEST AIRLINES CO.,40.4,34.86,39.57,31.58,45.41,30.83,54.41,-3.369127516778516,-1.7604790419161684,1.4639498432601878,-1.5200000000000031,-2.324848484848485,0.24646862570919215,-4.8961655954061625,-0.00029438,0.0004305727946127934,-0.04540505114065267,0.046266196729878264,-0.04343968,0.008303682684563744,-0.04255847675521121,0.0591658421243387,0.01019102,0.0014971061073825232,-0.021224853455662804,0.024219065670427854,0.02297414,0.00249239,60.9,0.46,-0.403,0.18972053872053882,1.3416590221520628,-0.9622179447109852,28.6,0.006863213211414365,0.07898235038389279,-0.3651138116174112,0.5230785123851968,0.279,31.0
2026-04-08,SCHP,SCHWAB STR:US TIPS,26.7,26.22,27.0,26.04,27.48,25.37,38.06,-1.333333333333319,1.1818181818181832,8.54135338345866,-10.080000000000002,-9.917239057239062,-9.6620143547911,-10.172463759687023,-0.00186543,0.0003988625925925925,-0.0028539725232776944,0.0036516977084628793,0.00778137,-0.004453030637583894,-0.017760923293013587,0.0088548620178458,0.30586107,0.2998014275838935,0.29436008294749266,0.30524277222029433,-3.977e-05,0.00045623,76.0,1.14,-0.533,-0.0786700336700337,0.6651610955941956,-0.8225011629342629,34.7,1.3789119487301482,1.6780219382758488,-1.7999351290806405,5.155979005632338,0.3195,30.0
2026-04-08,SJM,THE J. M. SMUCKER COMPANY,93.79,89.88,96.73,84.32,105.39,82.74,118.5,-1.3452768729641755,1.2249208025343166,2.2361990950226214,-5.969999999999999,-1.3337037037037043,3.1091337319312604,-5.7765411393386685,-0.03631223,-0.003811580404040406,-0.027649373536536525,0.02002621272845571,-0.00561702,-0.004731973859060391,-0.029369749170954217,0.01990580145283343,-0.00544824,-0.03672490171140931,-0.048275313514122634,-0.025174489908695988,0.00399551,-0.00171114,17.7,-1.49,-4.161,-0.10882154882154885,0.8809995610432991,-1.0986426586863969,0.2,1.3886772812839046,0.027193019212816652,-0.3580152086307764,0.4124012470564097,0.3135,30.0
2026-04-08,CMRE,COSTAMARE INC.,17.64,16.62,18.19,16.14,18.73,13.76,22.1,-1.3188405797101495,-1.3761467889908259,1.1494845360824741,-0.8099999999999987,-0.7386868686868686,-0.04180920900514762,-1.4355645283685896,0.01929723,0.003864675117845114,-0.02722241435495384,0.03495176459064407,0.0205886,-0.004426593020134226,-0.06772059072478656,0.058867404684518114,0.03533471,0.010602890100671121,-0.01197128134755162,0.03317706154889386,0.00013177,0.00092084,56.0,0.39,0.325,0.29122222222222205,1.4349955343954166,-0.8525510899509725,45.4,0.29564038127894277,0.24238114960237692,-0.423637807537523,0.9084001067422768,0.327,30.0
