Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-02-19,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,18.9,89.3,70.4
2026-02-19,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,-4.2,81.3,85.5
2026-02-19,HUBB,HUBBELL INC.,Industrials,Industrials,4.4,91.9,87.5
2026-02-19,HUM,HUMANA INC.,Health Care,Health Care,-3.6,8.1,11.7
2026-02-19,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,35.9,70.4,34.5
2026-02-19,HYD,VANECK:HIGH YIELD MUNI,,Bonds,37.7,81.9,44.2
2026-02-19,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,-65.7,20.0,85.7
2026-02-19,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,-47.6,30.0,77.6
2026-02-19,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,-41.1,11.1,52.2
2026-02-19,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,-46.4,23.2,69.6
2026-02-19,ICL,ICL GROUP LTD,,MR Discretion,28.2,47.4,19.2
2026-02-19,IDXX,"IDEXX LABORATORIES, INC.",Health Care,Health Care,-22.6,9.7,32.3
2026-02-19,IEF,ISHARES:7-10 TRS BD ETF,Bonds,Bonds,66.7,90.7,24.0
2026-02-19,IEX,IDEX ,Industrials,Industrials,-31.7,66.1,97.8
2026-02-19,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,Materials,16.6,93.8,77.2
2026-02-19,INCY,INCYTE ,Health Care,Health Care,-18.2,25.6,43.8
2026-02-19,INDA,ISHARES:MSCI INDIA,,Foreign,59.6,68.1,8.5
2026-02-19,INTC,INTEL ,Information Technology,Information Technology,-63.1,9.7,72.8
2026-02-19,INTU,INTUIT INC.,Information Technology,Information Technology,5.9,8.1,2.2
2026-02-19,INVH,INVITATION HOMES INC.,Real Estate,Real Estate,-17.1,23.6,40.7
2026-02-19,IP,INTERNATIONAL PAPER COMPANY,Materials,Materials,16.0,81.3,65.3
2026-02-19,IQV,IQVIA HOLDINGS INC,Health Care,Health Care,-47.2,2.6,49.8
2026-02-19,IR,INGERSOLL RAND INC.,Industrials,Industrials,-18.2,64.1,82.3
2026-02-19,IRM,IRON MOUNTAIN INC.,Real Estate,Real Estate,-2.4,84.7,87.1
2026-02-19,ISRG,"INTUITIVE SURGICAL, INC.",Health Care,Health Care,31.7,37.9,6.2
2026-02-19,IT,"GARTNER, INC.",Information Technology,Information Technology,0.0,26.4,26.4
2026-02-19,ITW,ILLINOIS TOOL WORKS INC.,Industrials,Industrials,9.9,97.4,87.5
2026-02-19,IVZ,INVESCO LTD.,Financials,Financials,-31.2,10.5,41.7
2026-02-19,IWD,ISHARES:RUSS 1000 VL ETF,,Sector & Style ETFs,-34.9,59.3,94.2
2026-02-19,IWF,ISHARES:RUSS 1000 GR ETF,,Sector & Style ETFs,1.2,20.4,19.2
2026-02-19,IWM,ISHARES:RUSS 2000 ETF,,Sector & Style ETFs,-61.5,26.0,87.5
2026-02-19,J,JACOBS SOLUTIONS INC.,Industrials,Industrials,-13.3,44.2,57.5
2026-02-19,JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,Industrials,-2.0,68.8,70.8
2026-02-19,JBL,JABIL INC.,Information Technology,Information Technology,1.2,53.4,52.2
2026-02-19,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Industrials,60.4,92.7,32.3
2026-02-19,JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,Financials,-22.8,10.9,33.7
2026-02-19,JNJ,JOHNSON & JOHNSON,Health Care,Health Care,6.0,99.8,93.8
2026-02-19,JNK,SPDR BBG HIGH YIELD BD,,Bonds,-68.6,17.7,86.3
2026-02-19,JPM,JPMORGAN CHASE & CO.,Financials,Financials,40.9,52.6,11.7
2026-02-19,KDP,KEURIG DR PEPPER INC.,Consumer Staples,Consumer Staples,48.5,80.8,32.3
2026-02-19,KEY,KEYCORP,Financials,Financials,-23.1,45.0,68.1
2026-02-19,KEYS,"KEYSIGHT TECHNOLOGIES, INC.",Information Technology,Information Technology,10.1,83.1,73.0
2026-02-19,KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,Consumer Staples,27.8,91.1,63.3
2026-02-19,KIM,KIMCO REALTY .,Real Estate,Real Estate,2.7,95.4,92.7
2026-02-19,KKR,KKR & CO. INC.,Financials,Financials,-2.4,12.1,14.5
2026-02-19,KLAC,KLA ,Information Technology,Information Technology,-33.1,25.4,58.5
2026-02-19,KMB,KIMBERLY-CLARK ,Consumer Staples,Consumer Staples,30.6,91.5,60.9
2026-02-19,KMI,"KINDER MORGAN, INC.",Energy,Energy,-1.6,97.4,99.0
2026-02-19,KO,THE COCA-COLA COMPANY,Consumer Staples,Consumer Staples,3.1,94.6,91.5
2026-02-19,KR,THE KROGER CO.,Consumer Staples,Consumer Staples,21.1,78.4,57.3
2026-02-19,KVUE,KENVUE INC.,Consumer Staples,Consumer Staples,33.0,91.5,58.5
2026-02-19,L,LOEWS ,Financials,Financials,53.2,86.3,33.1
2026-02-19,LDOS,"LEIDOS HOLDINGS, INC.",Industrials,Industrials,-40.4,18.1,58.5
2026-02-19,LEN,LENNAR ,Consumer Discretionary,Consumer Discretionary,-36.8,44.2,81.0
2026-02-19,LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,Health Care,-23.0,68.1,91.1
2026-02-19,LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,Industrials,-44.0,39.1,83.1
2026-02-19,LII,LENNOX INTERNATIONAL INC.,Industrials,Industrials,11.3,82.9,71.6
2026-02-19,LIN,LINDE PUBLIC LIMITED COMPANY,Materials,Materials,2.4,97.8,95.4
2026-02-19,LLY,ELI LILLY AND COMPANY,Health Care,Health Care,2.8,27.2,24.4
2026-02-19,LMT,LOCKHEED MARTIN ,Industrials,Industrials,-20.6,78.0,98.6
2026-02-19,LNT,ALLIANT ENERGY ,Utilities,Utilities,14.1,72.2,58.1
2026-02-19,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-34.3,51.6,85.9
2026-02-19,LQD,ISHARES:IBOXX $IG CORP,Bonds,Bonds,32.5,84.7,52.2
2026-02-19,LRCX,LAM RESEARCH ,Information Technology,Information Technology,-54.0,31.9,85.9
2026-02-19,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,Consumer Discretionary,48.4,60.9,12.5
2026-02-19,LUV,SOUTHWEST AIRLINES CO.,Industrials,Industrials,1.9,70.4,68.5
2026-02-19,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,Consumer Discretionary,27.2,38.1,10.9
2026-02-19,LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,Consumer Staples,-7.5,87.5,95.0
2026-02-19,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,Materials,-13.9,76.8,90.7
2026-02-19,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,Communication Services,38.3,87.1,48.8
2026-02-19,MA,MASTERCARD INC..,Financials,Financials,31.0,50.2,19.2
2026-02-19,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,Real Estate,26.2,57.7,31.5
2026-02-19,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,Consumer Discretionary,28.0,75.6,47.6
2026-02-19,MAS,MASCO ,Industrials,Industrials,4.8,74.0,69.2
2026-02-19,MCD,MCDONALD'S ,Consumer Discretionary,Consumer Discretionary,12.3,97.0,84.7
2026-02-19,MCHI,ISHARES:MSCI CHINA,,Foreign,-36.1,17.7,53.8
2026-02-19,MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,Information Technology,-31.8,47.0,78.8
2026-02-19,MCK,MCKESSON ,Health Care,Health Care,25.4,66.5,41.1
2026-02-19,MCO,MOODY'S ,Financials,Financials,-40.9,7.7,48.6
2026-02-19,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,Consumer Staples,-28.6,63.7,92.3
2026-02-19,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,Health Care,-66.8,18.7,85.5
