Ticker,Ticker_name,Exposure,Date,wtd_pct_change
APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,2026-02-20,-0.0428
ARES,ARES MANAGEMENT CORP,Financials,2026-02-20,-0.0801
AXP,AMERICAN EXPRESS COMPANY,Financials,2026-02-20,0.0257
BAC,BANK OF AMERICA ,Financials,2026-02-20,0.0097
BEN,"FRANKLIN RESOURCES, INC.",Financials,2026-02-20,0.0237
BK,THE BANK OF NEW YORK MELLON ,Financials,2026-02-20,0.0038
BLK,"BLACKROCK, INC.",Financials,2026-02-20,0.0207
BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,2026-02-20,0.0013
BRO,"BROWN & BROWN, INC.",Financials,2026-02-20,0.0164
BX,BLACKSTONE INC,Financials,2026-02-20,-0.0661
C,CITIGROUP INC.,Financials,2026-02-20,0.0464
CB,CHUBB LTD,Financials,2026-02-20,0.0205
CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,2026-02-20,0.0493
CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,2026-02-20,0.0029
CINF,CINCINNATI FINANCIAL ,Financials,2026-02-20,0.0014
CME,CME GROUP INC.,Financials,2026-02-20,0.0166
COF,CAPITAL ONE FINANCIAL ,Financials,2026-02-20,0.0051
COIN,"COINBASE GLOBAL, INC.",Financials,2026-02-20,0.0428
CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,2026-02-20,0.0462
EG,"EVEREST GROUP, LTD.",Financials,2026-02-20,0.0132
ERIE,ERIE INDEMNITY COMPANY,Financials,2026-02-20,-0.0217
FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,2026-02-20,-0.0522
FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,2026-02-20,0.0498
FISV,"FISERV, INC.",Financials,2026-02-20,0.0355
FITB,FIFTH THIRD BANCORP,Financials,2026-02-20,0.0144
GL,GLOBE LIFE INC.,Financials,2026-02-20,0.001
GPN,GLOBAL PAYMENTS INC.,Financials,2026-02-20,0.2043
GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,2026-02-20,0.0189
HBAN,HUNTINGTON BANCSHARES INC.,Financials,2026-02-20,0.0435
HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,2026-02-20,0.0067
HOOD,"ROBINHOOD MARKETS, INC.",Financials,2026-02-20,0.0018
IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,2026-02-20,-0.0047
ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,2026-02-20,0.0114
IVZ,INVESCO LTD.,Financials,2026-02-20,-0.0019
JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,2026-02-20,0.016
JPM,JPMORGAN CHASE & CO.,Financials,2026-02-20,0.0272
KEY,KEYCORP,Financials,2026-02-20,0.023
KKR,KKR & CO. INC.,Financials,2026-02-20,-0.0054
L,LOEWS ,Financials,2026-02-20,0.0091
MA,MASTERCARD INC..,Financials,2026-02-20,0.0155
MCO,MOODY'S ,Financials,2026-02-20,0.0501
MET,"METLIFE, INC.",Financials,2026-02-20,0.0232
MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Financials,2026-02-20,0.0302
MS,MORGAN STANLEY,Financials,2026-02-20,0.0249
MSCI,MSCI INC.,Financials,2026-02-20,0.0343
MTB,M&T BANK ,Financials,2026-02-20,0.0167
NDAQ,"NASDAQ, INC.",Financials,2026-02-20,0.0302
NTRS,NORTHERN TRUST ,Financials,2026-02-20,-0.0111
PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,2026-02-20,0.0594
PGR,THE PROGRESSIVE ,Financials,2026-02-20,-0.0022
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,2026-02-20,0.0159
PRU,"PRUDENTIAL FINANCIAL, INC.",Financials,2026-02-20,-0.0112
PYPL,"PAYPAL HOLDINGS, INC.",Financials,2026-02-20,0.0338
RF,REGIONS FINANCIAL ,Financials,2026-02-20,0.0108
RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,2026-02-20,-0.0026
SCHW,THE CHARLES SCHWAB ,Financials,2026-02-20,0.0033
SPGI,S&P GLOBAL INC.,Financials,2026-02-20,0.0194
STT,STATE STREET ,Financials,2026-02-20,-0.0002
SYF,SYNCHRONY FINANCIAL,Financials,2026-02-20,0.0279
TFC,TRUIST FINANCIAL ,Financials,2026-02-20,0.0081
TROW,"T. ROWE PRICE GROUP, INC.",Financials,2026-02-20,0.0173
TRV,"THE TRAVELERS COMPANIES, INC.",Financials,2026-02-20,0.0364
USB,U.S. BANCORP,Financials,2026-02-20,0.0168
V,VISA INC.,Financials,2026-02-20,0.0219
WFC,WELLS FARGO & COMPANY,Financials,2026-02-20,0.0198
WRB,W. R. BERKLEY ,Financials,2026-02-20,0.0198
WTW,WILLIS TOWERS WATSON,Financials,2026-02-20,0.0489
XYZ,"BLOCK, INC.",Financials,2026-02-20,0.0687
GLD,SPDR GOLD,Gold,2026-02-20,0.013
A,"AGILENT TECHNOLOGIES, INC.",Health Care,2026-02-20,-0.0231
ABBV,ABBVIE INC.,Health Care,2026-02-20,-0.0289
ABT,ABBOTT LABORATORIES,Health Care,2026-02-20,-0.0042
