Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-04-13,O,REALTY INCOME ,Real Estate,Real Estate,1.4,24.4,23.0
2026-04-13,ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,Industrials,3.2,99.8,96.6
2026-04-13,OEF,ISHARES:S&P 100,,Sector & Style ETFs,10.4,54.6,44.2
2026-04-13,OKE,"ONEOK, INC.",Energy,Energy,-10.7,53.8,64.5
2026-04-13,OMC,OMNICOM GROUP INC.,Communication Services,Communication Services,15.1,37.1,22.0
2026-04-13,ON,ON SEMICONDUCTOR ,Information Technology,Information Technology,5.9,86.7,80.8
2026-04-13,ORCL,ORACLE ,Information Technology,Information Technology,43.3,55.8,12.5
2026-04-13,ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,Consumer Discretionary,17.4,69.2,51.8
2026-04-13,OTIS,OTIS WORLDWIDE ,Industrials,Industrials,7.9,43.8,35.9
2026-04-13,OXY,OCCIDENTAL PETROLEUM ,Energy,Energy,4.4,37.5,33.1
2026-04-13,PAM,PAMPA ENERGIA SA,,MR Discretion,3.8,85.1,81.3
2026-04-13,PANW,"PALO ALTO NETWORKS, INC.",Information Technology,Information Technology,11.9,41.1,29.2
2026-04-13,PAYX,"PAYCHEX, INC.",Industrials,Industrials,31.5,59.5,28.0
2026-04-13,PBR,BRAZILIAN PETROLEUM  - PETROBRAS,,MR Discretion,8.9,82.5,73.6
2026-04-13,PCAR,PACCAR INC,Industrials,Industrials,6.0,90.3,84.3
2026-04-13,PCG,PG&E ,Utilities,Utilities,-31.4,35.1,66.5
2026-04-13,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC.,Utilities,Utilities,-30.5,26.0,56.5
2026-04-13,PEP,"PEPSICO, INC.",Consumer Staples,Consumer Staples,-10.3,39.9,50.2
2026-04-13,PFE,PFIZER INC.,Health Care,Health Care,28.2,64.9,36.7
2026-04-13,PFF,ISHARES:PREF AND INC SEC,,Bonds,15.9,60.9,45.0
2026-04-13,PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,Financials,14.4,94.8,80.4
2026-04-13,PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,Consumer Staples,-12.0,19.2,31.2
2026-04-13,PGR,THE PROGRESSIVE ,Financials,Financials,16.7,42.3,25.6
2026-04-13,PH,PARKER-HANNIFIN ,Industrials,Industrials,15.1,74.0,58.9
2026-04-13,PHM,"PULTEGROUP, INC.",Consumer Discretionary,Consumer Discretionary,4.4,49.0,44.6
2026-04-13,PKG,PACKAGING  OF AMERICA,Materials,Materials,6.4,41.5,35.1
2026-04-13,PLD,"PROLOGIS, INC.",Real Estate,Real Estate,3.0,67.5,64.5
2026-04-13,PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,Information Technology,5.6,15.3,9.7
2026-04-13,PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,Consumer Staples,-4.0,12.1,16.1
2026-04-13,PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,Financials,10.7,90.3,79.6
2026-04-13,PNR,PENTAIR PUBLIC LIMITED COMPANY,Industrials,Industrials,7.9,74.0,66.1
2026-04-13,PNW,PINNACLE WEST CAPITAL ,Utilities,Utilities,-19.9,45.8,65.7
2026-04-13,PODD,INSULET ,Health Care,Health Care,21.8,25.2,3.4
2026-04-13,POOL,POOL ,Consumer Discretionary,Consumer Discretionary,0.8,88.3,87.5
2026-04-13,POWA,INVESCO BLOOMBERG PRICING POWER,,Sector & Style ETFs,21.8,48.6,26.8
2026-04-13,PPG,"PPG INDUSTRIES, INC.",Materials,Materials,-3.1,66.5,69.6
2026-04-13,PPL,PPL ,Utilities,Utilities,-13.5,65.7,79.2
2026-04-13,PPLT,ABRDN:PHYSICAL PLATINUM,,Commodities,12.3,39.5,27.2
2026-04-13,PRU,"PRUDENTIAL FINANCIAL, INC.",Financials,Financials,11.9,94.2,82.3
2026-04-13,PSA,PUBLIC STORAGE.,Real Estate,Real Estate,3.2,55.4,52.2
2026-04-13,PSKY,PARAMOUNT SKYDANCE ,Communication Services,Communication Services,5.2,79.2,74.0
2026-04-13,PSX,PHILLIPS 66,Energy,Energy,2.4,8.9,6.5
2026-04-13,PTC,PTC INC.,Information Technology,Information Technology,2.8,3.0,0.2
2026-04-13,PWR,"QUANTA SERVICES, INC.",Industrials,Industrials,12.3,50.2,37.9
2026-04-13,PYPL,"PAYPAL HOLDINGS, INC.",Financials,Financials,11.6,80.4,68.8
2026-04-13,Q,"QNITY ELECTRONICS, INC.",Information Technology,Information Technology,12.8,88.9,76.1
2026-04-13,QAT,ISHARES:MSCI QATAR,,Foreign,-4.4,62.9,67.3
2026-04-13,QCOM,QUALCOMM INC.,Information Technology,Information Technology,23.0,56.5,33.5
2026-04-13,QQQ,INVESCO QQQ TRUST 1,,Sector & Style ETFs,10.3,61.3,51.0
2026-04-13,QUAL,ISHARES:MSCI USA QF,,Sector & Style ETFs,16.6,58.1,41.5
2026-04-13,RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,Consumer Discretionary,0.4,53.4,53.0
2026-04-13,REG,REGENCY CENTERS ,Real Estate,Real Estate,0.4,77.6,77.2
2026-04-13,REGN,"REGENERON PHARMACEUTICALS, INC.",Health Care,Health Care,-1.7,42.1,43.8
2026-04-13,RF,REGIONS FINANCIAL ,Financials,Financials,12.3,87.9,75.6
2026-04-13,RIG,TRANSOCEAN LTD,,MR Discretion,2.0,42.3,40.3
2026-04-13,RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,Financials,12.7,63.3,50.6
2026-04-13,RL,RALPH LAUREN ,Consumer Discretionary,Consumer Discretionary,2.0,76.8,74.8
2026-04-13,RMD,RESMED INC.,Health Care,Health Care,7.6,42.3,34.7
2026-04-13,ROK,"ROCKWELL AUTOMATION, INC.",Industrials,Industrials,4.7,85.1,80.4
2026-04-13,ROKU,"ROKU, INC.",,MR Discretion,12.3,72.4,60.1
2026-04-13,ROL,"ROLLINS, INC.",Industrials,Industrials,11.9,39.9,28.0
2026-04-13,ROP,"ROPER TECHNOLOGIES, INC.",Information Technology,Information Technology,20.2,83.5,63.3
2026-04-13,ROST,"ROSS STORES, INC.",Consumer Discretionary,Consumer Discretionary,15.1,62.5,47.4
2026-04-13,RSG,"REPUBLIC SERVICES, INC.",Industrials,Industrials,0.0,10.9,10.9
2026-04-13,RSP,INVESCO S&P500 EWGHT,,Sector & Style ETFs,16.3,61.3,45.0
2026-04-13,RTX,RTX ,Industrials,Industrials,-3.1,16.5,19.6
2026-04-13,RUT,RUSSELL 2000 INDEX,,Indices,17.2,82.1,64.9
2026-04-13,RVTY,"REVVITY, INC.",Health Care,Health Care,12.3,87.9,75.6
2026-04-13,SATS,ECHOSTAR CORPORATION,Communication Services,Communication Services,-4.0,71.6,75.6
2026-04-13,SBAC,SBA COMMUNICATIONS ,Real Estate,Real Estate,-5.9,90.3,96.2
2026-04-13,SBLK,STAR BULK CARRIERS CORP.,,MR Discretion,20.7,79.2,58.5
2026-04-13,SBUX,STARBUCKS ,Consumer Discretionary,Consumer Discretionary,6.0,39.9,33.9
2026-04-13,SCHP,SCHWAB STR:US TIPS,,Bonds,17.5,64.5,47.0
2026-04-13,SCHW,THE CHARLES SCHWAB ,Financials,Financials,0.0,63.7,63.7
2026-04-13,SD,"SANDRIDGE ENERGY, INC.",,MR Discretion,-1.2,15.3,16.5
2026-04-13,SDY,SPDR S&P DIVIDEND,,Sector & Style ETFs,-0.8,29.6,30.4
