Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-04-10,DBB,INVESCO DB MS BMTL,,Commodities,13.0
2026-04-10,DBC,INVESCO DB CM IDX,,Commodities,33.0
2026-04-10,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,30.0
2026-04-10,DDOG,"DATADOG, INC.",Information Technology,Information Technology,17.0
2026-04-10,DE,DEERE & COMPANY,Industrials,Industrials,-3.0
2026-04-10,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,-20.0
2026-04-10,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,-24.0
2026-04-10,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,8.0
2026-04-10,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,-17.0
2026-04-10,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,-14.0
2026-04-10,DHR,DANAHER ,Health Care,Health Care,3.0
2026-04-10,DHT,"DHT HOLDINGS, INC.",,MR Discretion,-6.0
2026-04-10,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,-18.0
2026-04-10,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,-19.0
2026-04-10,DJI,DOW JONES INDUSTRIAL AVG INDEX,,Indices,-18.0
2026-04-10,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,-19.0
2026-04-10,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,-10.0
2026-04-10,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,13.0
2026-04-10,DOV,DOVER ,Industrials,Industrials,-3.0
2026-04-10,DOW,DOW INC.,Materials,Materials,-3.0
2026-04-10,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,32.0
2026-04-10,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,16.0
2026-04-10,DTE,DTE ENERGY COMPANY,Utilities,Utilities,47.0
2026-04-10,DUK,DUKE ENERGY ,Utilities,Utilities,74.0
2026-04-10,DVA,DAVITA INC.,Health Care,Health Care,-5.0
2026-04-10,DVN,DEVON ENERGY ,Energy,Energy,43.0
2026-04-10,DXCM,"DEXCOM, INC.",Health Care,Health Care,-45.0
2026-04-10,DXY,US DOLLAR INDEX,USD,Indices,-3.0
2026-04-10,EA,ELECTRONIC ARTS INC.,Communication Services,Communication Services,12.0
2026-04-10,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,-5.0
2026-04-10,EC,ECOPETROL SA,,MR Discretion,16.0
2026-04-10,ECH,ISHARES:MSCI CHILE,,Foreign,33.0
2026-04-10,ECL,ECOLAB INC.,Materials,Materials,-22.0
2026-04-10,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,51.0
2026-04-10,EDEN,ISHARES:MSCI DENMARK,,Foreign,-31.0
2026-04-10,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,-1.0
2026-04-10,EFNL,ISHARES:MSCI FINLAND,,Foreign,-9.0
2026-04-10,EFX,EQUIFAX INC.,Industrials,Industrials,-5.0
2026-04-10,EG,"EVEREST GROUP, LTD.",Financials,Financials,28.0
2026-04-10,EIDO,ISHARES:MSCI INDONESIA,,Foreign,-3.0
2026-04-10,EIRL,ISHARES:MSCI IRELAND,,Foreign,-1.0
2026-04-10,EIS,ISHARES:MSCI ISRAEL,,Foreign,11.0
2026-04-10,EIX,EDISON INTERNATIONAL,Utilities,Utilities,-6.0
2026-04-10,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,18.0
2026-04-10,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,-50.0
2026-04-10,EME,"EMCOR GROUP, INC.",Industrials,Industrials,38.0
2026-04-10,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,-53.0
2026-04-10,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,33.0
2026-04-10,EOG,"EOG RESOURCES, INC.",Energy,Energy,60.0
2026-04-10,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,14.0
2026-04-10,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,-13.0
2026-04-10,EPOL,ISHARES:MSCI POLAND,,Foreign,-20.0
2026-04-10,EPU,ISHARES:MSCI PERU,,Foreign,46.0
2026-04-10,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,-8.0
2026-04-10,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,-12.0
2026-04-10,EQT,EQT ,Energy,Energy,37.0
2026-04-10,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,-22.0
2026-04-10,ES,EVERSOURCE ENERGY,Utilities,Utilities,48.0
2026-04-10,ES=F,E-MINI S&P 500 FUTURES,,Futures,-1.0
2026-04-10,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,-10.0
2026-04-10,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,-41.0
2026-04-10,ETR,ENTERGY ,Utilities,Utilities,34.0
2026-04-10,EVRG,"EVERGY, INC.",Utilities,Utilities,53.0
2026-04-10,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,9.0
2026-04-10,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,-36.0
2026-04-10,EWC,ISHARES:MSCI CANADA,,Foreign,-5.0
2026-04-10,EWD,ISHARES:MSCI SWEDEN,,Foreign,-27.0
2026-04-10,EWG,ISHARES:MSCI GERMANY,,Foreign,-18.0
2026-04-10,EWH,ISHARES:MSCI HONG KONG,,Foreign,7.0
2026-04-10,EWI,ISHARES:MSCI ITALY,,Foreign,-12.0
2026-04-10,EWJ,ISHARES:MSCI JAPAN,,Foreign,-38.0
2026-04-10,EWK,ISHARES:MSCI BELGIUM,,Foreign,-11.0
2026-04-10,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-1.0
2026-04-10,EWM,ISHARES:MSCI MALAYSIA,,Foreign,30.0
2026-04-10,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,-28.0
2026-04-10,EWO,ISHARES:MSCI AUSTRIA,,Foreign,-10.0
2026-04-10,EWP,ISHARES:MSCI SPAIN,,Foreign,-30.0
2026-04-10,EWQ,ISHARES:MSCI FRANCE,,Foreign,-28.0
