Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-02-13,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC.,Utilities,Utilities,-14.0,-17.0,-3.0
2026-02-13,PEP,"PEPSICO, INC.",Consumer Staples,Consumer Staples,-82.0,-46.0,36.0
2026-02-13,PFE,PFIZER INC.,Health Care,Health Care,-59.0,-43.0,16.0
2026-02-13,PFF,ISHARES:PREF AND INC SEC,,Bonds,-8.0,-28.0,-20.0
2026-02-13,PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,Financials,59.0,24.0,-35.0
2026-02-13,PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,Consumer Staples,-79.0,-53.0,26.0
2026-02-13,PGR,THE PROGRESSIVE ,Financials,Financials,-50.0,-48.0,2.0
2026-02-13,PH,PARKER-HANNIFIN ,Industrials,Industrials,15.0,5.0,-10.0
2026-02-13,PHM,"PULTEGROUP, INC.",Consumer Discretionary,Consumer Discretionary,-47.0,-7.0,40.0
2026-02-13,PKG,PACKAGING  OF AMERICA,Materials,Materials,7.0,-43.0,-50.0
2026-02-13,PLD,"PROLOGIS, INC.",Real Estate,Real Estate,-37.0,-38.0,-1.0
2026-02-13,PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,Information Technology,-7.0,0.0,7.0
2026-02-13,PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,Consumer Staples,30.0,10.0,-20.0
2026-02-13,PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,Financials,67.0,27.0,-40.0
2026-02-13,PNR,PENTAIR PUBLIC LIMITED COMPANY,Industrials,Industrials,0.0,-5.0,-5.0
2026-02-13,PNW,PINNACLE WEST CAPITAL ,Utilities,Utilities,-24.0,-2.0,22.0
2026-02-13,PODD,INSULET ,Health Care,Health Care,-8.0,29.0,37.0
2026-02-13,POOL,POOL ,Consumer Discretionary,Consumer Discretionary,-49.0,-27.0,22.0
2026-02-13,POWA,INVESCO BLOOMBERG PRICING POWER,,Sector & Style ETFs,-64.0,-28.0,36.0
2026-02-13,PPG,"PPG INDUSTRIES, INC.",Materials,Materials,13.0,-23.0,-36.0
2026-02-13,PPL,PPL ,Utilities,Utilities,1.0,1.0,0.0
2026-02-13,PPLT,ABRDN:PHYSICAL PLATINUM,,Commodities,41.0,0.0,-41.0
2026-02-13,PRU,"PRUDENTIAL FINANCIAL, INC.",Financials,Financials,37.0,-8.0,-45.0
